	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	ln_exportGDP	ln_exportGDP	ln_exportpc	ln_exportpc	ln_exportGDP	ln_exportGDP	ln_exportpc	ln_exportpc
								
lpred_TOTAL_trad_5ys	1.075***	1.038***	0.860**	0.844**	1.075***	1.038***	0.860**	0.844**
	(0.388)	(0.378)	(0.340)	(0.334)	(0.388)	(0.378)	(0.340)	(0.334)
								
Observations	344	344	344	344	344	344	344	344
R-squared	0.178	0.167	0.104	0.101	0.178	0.167	0.104	0.101
N	344	344	344	344	344	344	344	344
