"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",6.33992354836385,0.333763200853395,18.9952742907348,0.0000000000000000000000000000000000000000000000000000285724955819082,5.68309208561521,6.9967550111125
"ln_exportpc",-0.0198771369525098,0.07985372959256,-0.248919331056038,0.803594650497275,-0.177025803672226,0.137271529767206
"trade2_by_above_p75_gdp_1850",NA,NA,NA,NA,NA,NA
"factor(country)Argentina",0.977623198611749,0.15382808071343,6.35529738184142,0.00000000077802623040515,0.674896226289838,1.28035017093366
"factor(country)Australia",1.49074166205651,0.198967956762249,7.4923705621495,0.000000000000774482130326493,1.09918137696186,1.88230194715115
"factor(country)Austria-Hungary",1.00760730841146,0.131447305219149,7.66548471063423,0.000000000000253103320186642,0.748924728843963,1.26628988797896
"factor(country)Belgium",1.3273025923405,0.170239916394921,7.79665909410717,0.000000000000107285828701589,0.992277841205643,1.66232734347536
"factor(country)Brazil",-0.0985515339620197,0.128869764489544,-0.76473744134153,0.445033063102707,-0.352161625479931,0.155058557555892
"factor(country)Canada",0.950304000717373,0.146447008038004,6.48906395186145,0.00000000035951030273908,0.662102658391992,1.23850534304275
"factor(country)Cape of Good Hope",0.250029327100821,0.167271537607062,1.49475117331776,0.136037544471387,-0.0791537836847232,0.579212437886366
"factor(country)Ceylon",0.100006288062103,0.132591266718323,0.754244910221395,0.4512977583295,-0.160927557980877,0.360940134105082
"factor(country)Chile",0.730183413094577,0.142748681460185,5.11516747913525,0.000000562224705841029,0.449260216621163,1.01110660956799
"factor(country)China",-0.52911877522721,0.315578180144744,-1.67666463817151,0.0946567360331117,-1.15016290815149,0.0919253576970648
"factor(country)Colombia",-0.216534305771258,0.148208542870779,-1.46101096183134,0.14506600050867,-0.508202272032221,0.0751336604897046
"factor(country)Cuba",0.351585442214533,0.185435286570039,1.89600074892833,0.058927173363529,-0.013343136525078,0.716514020954144
"factor(country)Denmark",1.07807196559929,0.147114794259359,7.32810028404546,0.00000000000220401908384189,0.788556449034649,1.36758748216394
"factor(country)Dutch East Indie",-0.283556451344279,0.175852841246401,-1.61246442954519,0.107919410355238,-0.629627194461087,0.062514291772528
"factor(country)Ecuador",-0.569626969577412,0.14642874628403,-3.89013075665143,0.000123612635607066,-0.85779237356524,-0.281461565589584
"factor(country)Egypt",-0.0917739336848172,0.171759888903661,-0.534315283216634,0.593521805677044,-0.429789924607948,0.246242057238313
"factor(country)Finland",0.437699445065371,0.130586299521389,3.35180219264641,0.00090643539005638,0.180711287262912,0.69468760286783
"factor(country)France",1.03053023770953,0.136587058829231,7.54486000754988,0.000000000000552709073520148,0.761732846583277,1.29932762883577
"factor(country)Germany",1.02561500144527,0.134348032487228,7.63401579061285,0.00000000000031054327922453,0.761223916776981,1.29000608611355
"factor(country)Gold Coast",-0.500337108986668,0.195799133848001,-2.55535915381056,0.0111043719578439,-0.885661288409284,-0.115012929564053
"factor(country)Greece",0.508837495086398,0.132019282798242,3.85426647002793,0.000142201378928979,0.249029288520555,0.768645701652241
"factor(country)India - British Possessions",-0.467791603754583,0.21199797774135,-2.20658521717276,0.0281055183366681,-0.884994403414841,-0.0505888040943252
"factor(country)Italy",0.720153146181726,0.131327014067054,5.48366344348638,0.0000000889519554110419,0.461707294369668,0.978598997993784
"factor(country)Japan",0.0622397486908602,0.204985562164787,0.303629914387951,0.761621739295449,-0.34116292210924,0.465642419490961
"factor(country)Mexico",0.156363309285955,0.148685673820973,1.05163668608871,0.293818285150112,-0.136243629932893,0.448970248504802
"factor(country)Netherlands",1.35099716160839,0.203284112347749,6.64585710120474,0.000000000143359347547693,0.950942870046206,1.75105145317057
"factor(country)New Zealand",1.48989721653769,0.193815689353898,7.68718580783834,0.000000000000219739527152126,1.10847636961252,1.87131806346286
"factor(country)Norway",0.63456918342075,0.135513720813094,4.68269323293081,0.00000430699892678576,0.367884074827028,0.901254292014471
