"country","GDP2020","ANS2020"
"Romania",252033792712.145,177370033078.418
"Russian Federation",1493075894362.14,1100984223793.5
"Rwanda",10174386854.812,8785041890.58908
"South Asia",3172770463749.49,2843353785233.32
"Saudi Arabia",767951200000,545385719282.698
"Sudan",27034593750,52759040288.0176
"Senegal",24530513037.7518,20415430093.2265
"Solomon Islands",1536145814.17007,1325293533.84455
"Sierra Leone",6693888876.28565,4761664270.8266
"El Salvador",24921190000,19038502792.5372
"Serbia",55874017668.998,37852193316.1778
"Sub-Saharan Africa (excluding high income)",1621662123503.33,1502123018328.6
"Sub-Saharan Africa",1730702407679.05,1503144212698.14
"Slovak Republic",107732602896.441,75172903562.033
"Slovenia",53384760135.1581,38445668384.1689
"Sweden",545147614972.141,451606984969.736
"Eswatini",4120621324.89015,3274434190.23479
"Seychelles",1382551751.56908,1028757936.42405
"Chad",14932897821.2387,6312387238.97424
"East Asia & Pacific (IDA & IBRD countries)",17783399412496.6,12639324561914.6
"Europe & Central Asia (IDA & IBRD countries)",3916679848494.7,3225727113047.33
"Togo",7400284167.7848,4942762202.21097
"Latin America & the Caribbean (IDA & IBRD countries)",4561756343150.42,4158080150819.68
"Timor-Leste",2162619240.86927,2091806267.01122
"Tonga",496856303.949489,496599722.150605
"South Asia (IDA & IBRD)",3172770463749.49,2843353785233.32
"Sub-Saharan Africa (IDA & IBRD countries)",1730702407679.05,1503144212698.14
"Tunisia",42491780918.361,43256330947.106
"Tanzania",66068737786.0639,52110839130.8693
"Uganda",37600368239.8824,36156368723.3317
"Ukraine",156617722013.342,97230371453.79
"Upper middle income",23214223345858.7,17632334471631.4
"Uruguay",53559359261.826,43224417658.3005
"United States",2.1354105e+13,16379583701103.5
"Vietnam",346615738537.796,213153252718.515
"Vanuatu",909421043.508407,894540956.989785
"Samoa",868898358.266437,741561971.269398
"South Africa",337974655408.055,283645257149.799
"Zimbabwe",26868564055.12,13373492553.4502
